Store,Item,Allocation
7,Phone Charger,9
7,Power Cord,3
7,Shrimp,12
7,Steak,8
7,Tape,0
8,Bracket,0
8,Brush,0
8,Cereal,3
8,Ear Buds,5
8,Eggs,3
8,Glue,1
8,Keyboard,6
8,King Crab,3
8,Milk,1
8,Mouse,3
8,Nails,0
8,Noodles,5
8,Paint,0
8,Phone Charger,6
8,Power Cord,3
8,Shrimp,6
8,Steak,5
8,Tape,0
9,Bracket,0
9,Brush,0
9,Cereal,3
9,Ear Buds,11
9,Eggs,3
9,Glue,0
9,Keyboard,12
9,King Crab,6
9,Milk,3
9,Mouse,5
9,Nails,1
9,Noodles,9
9,Paint,0
9,Phone Charger,9
9,Power Cord,3
9,Shrimp,12
9,Steak,9
9,Tape,0
10,Bracket,0
10,Brush,0
10,Cereal,3
10,Ear Buds,9
10,Eggs,3
10,Glue,0
10,Keyboard,10
10,King Crab,4
10,Milk,1
10,Mouse,3
10,Nails,0
10,Noodles,6
10,Paint,0
10,Phone Charger,9
10,Power Cord,3
10,Shrimp,9
10,Steak,5
10,Tape,0
11,Bracket,0
11,Brush,0
11,Cereal,1
11,Ear Buds,3
11,Eggs,1
11,Glue,0
11,Keyboard,3
11,King Crab,3
11,Milk,1
11,Mouse,1
11,Nails,0
11,Noodles,3
11,Paint,0
11,Phone Charger,3
11,Power Cord,0
11,Shrimp,4
11,Steak,3
11,Tape,0
12,Bracket,0
12,Brush,0
12,Cereal,6
12,Ear Buds,12
12,Eggs,6
12,Glue,1
12,Keyboard,14
12,King Crab,6
12,Milk,3
12,Mouse,6
12,Nails,2
12,Noodles,9
12,Paint,0
12,Phone Charger,12
12,Power Cord,6
12,Shrimp,15
12,Steak,15
12,Tape,0
13,Bracket,0
13,Brush,0
13,Cereal,0
13,Ear Buds,3
13,Eggs,0
13,Glue,0
13,Keyboard,3
13,King Crab,3
13,Milk,0
13,Mouse,2
13,Nails,0
13,Noodles,3
13,Paint,0
13,Phone Charger,3
13,Power Cord,0
13,Shrimp,3
13,Steak,3
13,Tape,0
14,Bracket,3
14,Brush,3
14,Cereal,3
14,Ear Buds,9
14,Eggs,3
14,Glue,2
14,Keyboard,9
14,King Crab,3
14,Milk,0
14,Mouse,3
14,Nails,0
14,Noodles,3
14,Paint,0
14,Phone Charger,6
14,Power Cord,0
14,Shrimp,7
14,Steak,3
14,Tape,0
15,Bracket,2
15,Brush,1
15,Cereal,2
15,Ear Buds,8
15,Eggs,3
15,Glue,0
15,Keyboard,9
15,King Crab,3
15,Milk,0
15,Mouse,1
15,Nails,0
15,Noodles,3
15,Paint,0
15,Phone Charger,6
15,Power Cord,0
15,Shrimp,6
15,Steak,3
15,Tape,0
16,Bracket,3
16,Brush,0
16,Cereal,1
16,Ear Buds,7
16,Eggs,1
16,Glue,0
16,Keyboard,9
16,King Crab,3
16,Milk,0
16,Mouse,1
16,Nails,0
16,Noodles,3
16,Paint,0
16,Phone Charger,6
16,Power Cord,0
16,Shrimp,6
16,Steak,3
16,Tape,0
17,Bracket,0
17,Brush,0
17,Cereal,0
17,Ear Buds,3
17,Eggs,0
17,Glue,0
17,Keyboard,3
17,King Crab,3
17,Milk,0
17,Mouse,0
17,Nails,0
17,Noodles,3
17,Paint,0
17,Phone Charger,3
17,Power Cord,0
17,Shrimp,3
17,Steak,3
17,Tape,0
18,Bracket,0
18,Brush,0
18,Cereal,0
18,Ear Buds,3
18,Eggs,0
18,Glue,0
18,Keyboard,3
18,King Crab,3
18,Milk,0
18,Mouse,2
18,Nails,0
18,Noodles,3
18,Paint,0
18,Phone Charger,3
18,Power Cord,0
18,Shrimp,3
18,Steak,3
18,Tape,0
19,Bracket,1
19,Brush,0
19,Cereal,3
19,Ear Buds,8
19,Eggs,3
19,Glue,1
19,Keyboard,9
19,King Crab,3
19,Milk,0
19,Mouse,1
19,Nails,0
19,Noodles,3
19,Paint,0
19,Phone Charger,6
19,Power Cord,0
19,Shrimp,6
19,Steak,3
19,Tape,0
20,Bracket,0
20,Brush,0
20,Cereal,0
20,Ear Buds,3
20,Eggs,0
20,Glue,0
20,Keyboard,3
20,King Crab,3
20,Milk,0
20,Mouse,2
20,Nails,0
20,Noodles,3
20,Paint,0
20,Phone Charger,3
20,Power Cord,0
20,Shrimp,3
20,Steak,3
20,Tape,0
21,Bracket,1
21,Brush,0
21,Cereal,2
21,Ear Buds,8
21,Eggs,3
21,Glue,1
21,Keyboard,9
21,King Crab,3
21,Milk,0
21,Mouse,1
21,Nails,0
21,Noodles,3
21,Paint,0
21,Phone Charger,6
21,Power Cord,0
21,Shrimp,6
21,Steak,3
21,Tape,0
22,Bracket,1
22,Brush,0
22,Cereal,3
22,Ear Buds,8
22,Eggs,3
22,Glue,1
22,Keyboard,9
22,King Crab,3
22,Milk,0
22,Mouse,1
22,Nails,0
22,Noodles,3
22,Paint,0
22,Phone Charger,6
22,Power Cord,0
22,Shrimp,6
22,Steak,3
22,Tape,0
23,Bracket,0
23,Brush,0
23,Cereal,0
23,Ear Buds,3
23,Eggs,0
23,Glue,0
23,Keyboard,3
23,King Crab,3
23,Milk,0
23,Mouse,0
23,Nails,0
23,Noodles,3
23,Paint,0
23,Phone Charger,3
23,Power Cord,0
23,Shrimp,3
23,Steak,3
23,Tape,0
24,Bracket,0
24,Brush,0
24,Cereal,0
24,Ear Buds,3
24,Eggs,0
24,Glue,0
24,Keyboard,3
24,King Crab,3
24,Milk,0
24,Mouse,0
24,Nails,0
24,Noodles,3
24,Paint,0
24,Phone Charger,3
24,Power Cord,0
24,Shrimp,3
24,Steak,3
24,Tape,0
25,Bracket,0
25,Brush,0
25,Cereal,0
25,Ear Buds,3
25,Eggs,0
25,Glue,0
25,Keyboard,3
25,King Crab,3
25,Milk,0
25,Mouse,0
25,Nails,0
25,Noodles,3
25,Paint,0
25,Phone Charger,3
25,Power Cord,0
25,Shrimp,3
25,Steak,3
25,Tape,0
26,Bracket,1
26,Brush,0
26,Cereal,3
26,Ear Buds,8
26,Eggs,3
26,Glue,1
26,Keyboard,9
26,King Crab,3
26,Milk,0
26,Mouse,1
26,Nails,0
26,Noodles,3
26,Paint,0
26,Phone Charger,6
26,Power Cord,0
26,Shrimp,6
26,Steak,3
26,Tape,0
27,Bracket,1
27,Brush,0
27,Cereal,2
27,Ear Buds,8
27,Eggs,2
27,Glue,1
27,Keyboard,9
27,King Crab,3
27,Milk,0
27,Mouse,1
27,Nails,0
27,Noodles,3
27,Paint,0
27,Phone Charger,6
27,Power Cord,0
27,Shrimp,6
27,Steak,3
27,Tape,0
28,Bracket,0
28,Brush,0
28,Cereal,0
28,Ear Buds,3
28,Eggs,0
28,Glue,0
28,Keyboard,3
28,King Crab,3
28,Milk,0
28,Mouse,0
28,Nails,0
28,Noodles,3
28,Paint,0
28,Phone Charger,3
28,Power Cord,0
28,Shrimp,3
28,Steak,3
28,Tape,0
29,Bracket,0
29,Brush,0
29,Cereal,0
29,Ear Buds,3
29,Eggs,0
29,Glue,0
29,Keyboard,3
29,King Crab,3
29,Milk,0
29,Mouse,0
29,Nails,0
29,Noodles,3
29,Paint,0
29,Phone Charger,3
29,Power Cord,0
29,Shrimp,3
29,Steak,3
29,Tape,0
30,Bracket,0
30,Brush,0
30,Cereal,2
30,Ear Buds,5
30,Eggs,3
30,Glue,0
30,Keyboard,6
30,King Crab,3
30,Milk,2
30,Mouse,3
30,Nails,0
30,Noodles,3
30,Paint,0
30,Phone Charger,5
30,Power Cord,2
30,Shrimp,3
30,Steak,3
30,Tape,0
31,Bracket,0
31,Brush,0
31,Cereal,2
31,Ear Buds,5
31,Eggs,3
31,Glue,0
31,Keyboard,6
31,King Crab,3
31,Milk,2
31,Mouse,3
31,Nails,0
31,Noodles,3
31,Paint,0
31,Phone Charger,5
31,Power Cord,2
31,Shrimp,5
31,Steak,6
31,Tape,0
32,Bracket,1
32,Brush,0
32,Cereal,2
32,Ear Buds,9
32,Eggs,2
32,Glue,1
32,Keyboard,9
32,King Crab,3
32,Milk,0
32,Mouse,2
32,Nails,1
32,Noodles,4
32,Paint,0
32,Phone Charger,6
32,Power Cord,0
32,Shrimp,7
32,Steak,4
32,Tape,0
33,Bracket,3
33,Brush,0
33,Cereal,3
33,Ear Buds,9
33,Eggs,3
33,Glue,3
33,Keyboard,11
33,King Crab,3
33,Milk,0
33,Mouse,3
33,Nails,1
33,Noodles,6
33,Paint,0
33,Phone Charger,6
33,Power Cord,0
33,Shrimp,8
33,Steak,4
33,Tape,0
34,Bracket,6
34,Brush,5
34,Cereal,5
34,Ear Buds,11
34,Eggs,5
34,Glue,4
34,Keyboard,12
34,King Crab,6
34,Milk,3
34,Mouse,4
34,Nails,3
34,Noodles,6
34,Paint,3
34,Phone Charger,9
34,Power Cord,3
34,Shrimp,9
34,Steak,6
34,Tape,3
35,Bracket,2
35,Brush,2
35,Cereal,3
35,Ear Buds,4
35,Eggs,3
35,Glue,3
35,Keyboard,6
35,King Crab,3
35,Milk,1
35,Mouse,3
35,Nails,1
35,Noodles,3
35,Paint,0
35,Phone Charger,3
35,Power Cord,1
35,Shrimp,3
35,Steak,3
35,Tape,0
36,Bracket,3
36,Brush,3
36,Cereal,3
36,Ear Buds,6
36,Eggs,3
36,Glue,3
36,Keyboard,9
36,King Crab,3
36,Milk,3
36,Mouse,5
36,Nails,3
36,Noodles,3
36,Paint,0
36,Phone Charger,6
36,Power Cord,3
36,Shrimp,6
36,Steak,5
36,Tape,0
37,Bracket,3
37,Brush,3
37,Cereal,6
37,Ear Buds,13
37,Eggs,6
37,Glue,3
37,Keyboard,15
37,King Crab,6
37,Milk,3
37,Mouse,6
37,Nails,3
37,Noodles,7
37,Paint,3
37,Phone Charger,12
37,Power Cord,3
37,Shrimp,12
37,Steak,9
37,Tape,3
38,Bracket,0
38,Brush,0
38,Cereal,3
38,Ear Buds,6
38,Eggs,3
38,Glue,3
38,Keyboard,6
38,King Crab,3
38,Milk,2
38,Mouse,3
38,Nails,0
38,Noodles,3
38,Paint,0
38,Phone Charger,6
38,Power Cord,3
38,Shrimp,5
38,Steak,3
38,Tape,0
39,Bracket,2
39,Brush,0
39,Cereal,3
39,Ear Buds,12
39,Eggs,3
39,Glue,0
39,Keyboard,12
39,King Crab,3
39,Milk,0
39,Mouse,3
39,Nails,0
39,Noodles,5
39,Paint,0
39,Phone Charger,9
39,Power Cord,2
39,Shrimp,9
39,Steak,5
39,Tape,0
40,Bracket,3
40,Brush,0
40,Cereal,3
40,Ear Buds,13
40,Eggs,3
40,Glue,3
40,Keyboard,15
40,King Crab,6
40,Milk,3
40,Mouse,6
40,Nails,0
40,Noodles,6
40,Paint,0
40,Phone Charger,12
40,Power Cord,4
40,Shrimp,9
40,Steak,6
40,Tape,0
41,Bracket,2
41,Brush,0
41,Cereal,3
41,Ear Buds,11
41,Eggs,3
41,Glue,0
41,Keyboard,12
41,King Crab,3
41,Milk,0
41,Mouse,3
41,Nails,0
41,Noodles,5
41,Paint,0
41,Phone Charger,9
41,Power Cord,2
41,Shrimp,9
41,Steak,5
41,Tape,0
42,Bracket,0
42,Brush,0
42,Cereal,0
42,Ear Buds,3
42,Eggs,0
42,Glue,0
42,Keyboard,6
42,King Crab,2
42,Milk,0
42,Mouse,2
42,Nails,0
42,Noodles,3
42,Paint,0
42,Phone Charger,4
42,Power Cord,0
42,Shrimp,3
42,Steak,3
42,Tape,0
43,Bracket,0
43,Brush,0
43,Cereal,0
43,Ear Buds,3
43,Eggs,0
43,Glue,0
43,Keyboard,6
43,King Crab,2
43,Milk,0
43,Mouse,2
43,Nails,0
43,Noodles,3
43,Paint,0
43,Phone Charger,4
43,Power Cord,0
43,Shrimp,3
43,Steak,3
43,Tape,0
44,Bracket,3
44,Brush,0
44,Cereal,3
44,Ear Buds,13
44,Eggs,3
44,Glue,3
44,Keyboard,15
44,King Crab,6
44,Milk,3
44,Mouse,6
44,Nails,0
44,Noodles,6
44,Paint,0
44,Phone Charger,12
44,Power Cord,4
44,Shrimp,9
44,Steak,6
44,Tape,0
45,Bracket,6
45,Brush,5
45,Cereal,3
45,Ear Buds,14
45,Eggs,4
45,Glue,5
45,Keyboard,15
45,King Crab,6
45,Milk,3
45,Mouse,6
45,Nails,5
45,Noodles,6
45,Paint,3
45,Phone Charger,12
45,Power Cord,4
45,Shrimp,9
45,Steak,6
45,Tape,3
46,Bracket,2
46,Brush,0
46,Cereal,0
46,Ear Buds,3
46,Eggs,0
46,Glue,0
46,Keyboard,6
46,King Crab,3
46,Milk,0
46,Mouse,2
46,Nails,0
46,Noodles,3
46,Paint,0
46,Phone Charger,5
46,Power Cord,0
46,Shrimp,3
46,Steak,3
46,Tape,0
47,Bracket,0
47,Brush,0
47,Cereal,3
47,Ear Buds,6
47,Eggs,3
47,Glue,1
47,Keyboard,9
47,King Crab,3
47,Milk,2
47,Mouse,4
47,Nails,0
47,Noodles,3
47,Paint,0
47,Phone Charger,6
47,Power Cord,3
47,Shrimp,3
47,Steak,3
47,Tape,0
48,Bracket,3
48,Brush,0
48,Cereal,4
48,Ear Buds,13
48,Eggs,4
48,Glue,3
48,Keyboard,16
48,King Crab,6
48,Milk,2
48,Mouse,5
48,Nails,0
48,Noodles,6
48,Paint,0
48,Phone Charger,10
48,Power Cord,3
48,Shrimp,9
48,Steak,6
48,Tape,0
49,Bracket,3
49,Brush,2
49,Cereal,6
49,Ear Buds,18
49,Eggs,6
49,Glue,3
49,Keyboard,21
49,King Crab,6
49,Milk,3
49,Mouse,9
49,Nails,2
49,Noodles,6
49,Paint,0
49,Phone Charger,15
49,Power Cord,7
49,Shrimp,9
49,Steak,6
49,Tape,0
50,Bracket,0
50,Brush,0
50,Cereal,3
50,Ear Buds,8
50,Eggs,3
50,Glue,2
50,Keyboard,11
50,King Crab,3
50,Milk,2
50,Mouse,4
50,Nails,0
50,Noodles,3
50,Paint,0
50,Phone Charger,7
50,Power Cord,3
50,Shrimp,4
50,Steak,3
50,Tape,0
51,Bracket,3
51,Brush,2
51,Cereal,6
51,Ear Buds,15
51,Eggs,6
51,Glue,3
51,Keyboard,17
51,King Crab,6
51,Milk,3
51,Mouse,6
51,Nails,1
51,Noodles,6
51,Paint,0
51,Phone Charger,12
51,Power Cord,5
51,Shrimp,9
51,Steak,6
51,Tape,0
52,Bracket,3
52,Brush,2
52,Cereal,6
52,Ear Buds,15
52,Eggs,6
52,Glue,3
52,Keyboard,17
52,King Crab,6
52,Milk,3
52,Mouse,6
52,Nails,2
52,Noodles,6
52,Paint,0
52,Phone Charger,12
52,Power Cord,4
52,Shrimp,9
52,Steak,6
52,Tape,0
53,Bracket,3
53,Brush,3
53,Cereal,6
53,Ear Buds,18
53,Eggs,6
53,Glue,3
53,Keyboard,19
53,King Crab,6
53,Milk,3
53,Mouse,8
53,Nails,2
53,Noodles,7
53,Paint,0
53,Phone Charger,13
53,Power Cord,6
53,Shrimp,10
53,Steak,7
53,Tape,0
54,Bracket,5
54,Brush,3
54,Cereal,9
54,Ear Buds,25
54,Eggs,9
54,Glue,5
54,Keyboard,28
54,King Crab,9
54,Milk,6
54,Mouse,14
54,Nails,3
54,Noodles,9
54,Paint,3
54,Phone Charger,21
54,Power Cord,11
54,Shrimp,16
54,Steak,9
54,Tape,0
55,Bracket,0
55,Brush,0
55,Cereal,3
55,Ear Buds,6
55,Eggs,3
55,Glue,0
55,Keyboard,6
55,King Crab,3
55,Milk,1
55,Mouse,3
55,Nails,0
55,Noodles,3
55,Paint,0
55,Phone Charger,6
55,Power Cord,3
55,Shrimp,3
55,Steak,3
55,Tape,0
56,Bracket,3
56,Brush,1
56,Cereal,6
56,Ear Buds,15
56,Eggs,6
56,Glue,1
56,Keyboard,18
56,King Crab,6
56,Milk,3
56,Mouse,6
56,Nails,0
56,Noodles,6
56,Paint,0
56,Phone Charger,12
56,Power Cord,6
56,Shrimp,9
56,Steak,6
56,Tape,0
57,Bracket,0
57,Brush,0
57,Cereal,0
57,Ear Buds,1
57,Eggs,0
57,Glue,0
57,Keyboard,3
57,King Crab,0
57,Milk,0
57,Mouse,0
57,Nails,0
57,Noodles,1
57,Paint,0
57,Phone Charger,2
57,Power Cord,0
57,Shrimp,3
57,Steak,1
57,Tape,0
58,Bracket,3
58,Brush,0
58,Cereal,3
58,Ear Buds,7
58,Eggs,3
58,Glue,3
58,Keyboard,9
58,King Crab,4
58,Milk,0
58,Mouse,3
58,Nails,0
58,Noodles,6
58,Paint,0
58,Phone Charger,8
58,Power Cord,2
58,Shrimp,9
58,Steak,6
58,Tape,0
59,Bracket,6
59,Brush,6
59,Cereal,3
59,Ear Buds,12
59,Eggs,3
59,Glue,3
59,Keyboard,12
59,King Crab,5
59,Milk,1
59,Mouse,3
59,Nails,3
59,Noodles,5
59,Paint,2
59,Phone Charger,9
59,Power Cord,3
59,Shrimp,9
59,Steak,5
59,Tape,0
60,Bracket,3
60,Brush,3
60,Cereal,3
60,Ear Buds,9
60,Eggs,3
60,Glue,3
60,Keyboard,9
60,King Crab,6
60,Milk,2
60,Mouse,3
60,Nails,3
60,Noodles,6
60,Paint,0
60,Phone Charger,9
60,Power Cord,3
60,Shrimp,9
60,Steak,6
60,Tape,0
61,Bracket,3
61,Brush,3
61,Cereal,3
61,Ear Buds,9
61,Eggs,3
61,Glue,3
61,Keyboard,9
61,King Crab,4
61,Milk,0
61,Mouse,3
61,Nails,2
61,Noodles,6
61,Paint,0
61,Phone Charger,9
61,Power Cord,3
61,Shrimp,9
61,Steak,6
61,Tape,0
62,Bracket,0
62,Brush,0
62,Cereal,0
62,Ear Buds,3
62,Eggs,0
62,Glue,0
62,Keyboard,3
62,King Crab,0
62,Milk,0
62,Mouse,0
62,Nails,0
62,Noodles,0
62,Paint,0
62,Phone Charger,3
62,Power Cord,0
62,Shrimp,3
62,Steak,0
62,Tape,0
63,Bracket,0
63,Brush,0
63,Cereal,0
63,Ear Buds,3
63,Eggs,0
63,Glue,0
63,Keyboard,3
63,King Crab,0
63,Milk,0
63,Mouse,0
63,Nails,0
63,Noodles,0
63,Paint,0
63,Phone Charger,3
63,Power Cord,0
63,Shrimp,3
63,Steak,0
63,Tape,0
64,Bracket,0
64,Brush,0
64,Cereal,0
64,Ear Buds,3
64,Eggs,0
64,Glue,0
64,Keyboard,3
64,King Crab,0
64,Milk,0
64,Mouse,0
64,Nails,0
64,Noodles,0
64,Paint,0
64,Phone Charger,3
64,Power Cord,0
64,Shrimp,3
64,Steak,0
64,Tape,0
65,Bracket,0
65,Brush,0
65,Cereal,0
65,Ear Buds,3
65,Eggs,0
65,Glue,0
65,Keyboard,3
65,King Crab,0
65,Milk,0
65,Mouse,0
65,Nails,0
65,Noodles,0
65,Paint,0
65,Phone Charger,3
65,Power Cord,0
65,Shrimp,3
65,Steak,0
65,Tape,0
66,Bracket,3
66,Brush,0
66,Cereal,1
66,Ear Buds,3
66,Eggs,1
66,Glue,0
66,Keyboard,3
66,King Crab,3
66,Milk,0
66,Mouse,1
66,Nails,0
66,Noodles,3
66,Paint,0
66,Phone Charger,3
66,Power Cord,0
66,Shrimp,3
66,Steak,3
66,Tape,0
67,Bracket,6
67,Brush,7
67,Cereal,3
67,Ear Buds,12
67,Eggs,3
67,Glue,3
67,Keyboard,12
67,King Crab,5
67,Milk,2
67,Mouse,3
67,Nails,3
67,Noodles,5
67,Paint,1
67,Phone Charger,9
67,Power Cord,3
67,Shrimp,9
67,Steak,5
67,Tape,1
68,Bracket,0
68,Brush,0
68,Cereal,0
68,Ear Buds,3
68,Eggs,0
68,Glue,0
68,Keyboard,3
68,King Crab,1
68,Milk,0
68,Mouse,0
68,Nails,0
68,Noodles,2
68,Paint,0
68,Phone Charger,3
68,Power Cord,0
68,Shrimp,3
68,Steak,3
68,Tape,0
69,Bracket,0
69,Brush,0
69,Cereal,0
69,Ear Buds,3
69,Eggs,0
69,Glue,0
69,Keyboard,3
69,King Crab,1
69,Milk,0
69,Mouse,0
69,Nails,0
69,Noodles,2
69,Paint,0
69,Phone Charger,3
69,Power Cord,0
69,Shrimp,3
69,Steak,3
69,Tape,0
70,Bracket,0
70,Brush,0
70,Cereal,0
70,Ear Buds,3
70,Eggs,0
70,Glue,0
70,Keyboard,3
70,King Crab,1
70,Milk,0
70,Mouse,0
70,Nails,0
70,Noodles,2
70,Paint,0
70,Phone Charger,3
70,Power Cord,0
70,Shrimp,3
70,Steak,3
70,Tape,0
71,Bracket,0
71,Brush,0
71,Cereal,0
71,Ear Buds,3
71,Eggs,0
71,Glue,0
71,Keyboard,3
71,King Crab,1
71,Milk,0
71,Mouse,0
71,Nails,0
71,Noodles,2
71,Paint,0
71,Phone Charger,3
71,Power Cord,0
71,Shrimp,3
71,Steak,3
71,Tape,0
72,Bracket,0
72,Brush,0
72,Cereal,0
72,Ear Buds,3
72,Eggs,0
72,Glue,0
72,Keyboard,3
72,King Crab,1
72,Milk,0
72,Mouse,0
72,Nails,0
72,Noodles,2
72,Paint,0
72,Phone Charger,3
72,Power Cord,0
72,Shrimp,3
72,Steak,3
72,Tape,0
73,Bracket,3
73,Brush,3
73,Cereal,3
73,Ear Buds,9
73,Eggs,3
73,Glue,3
73,Keyboard,9
73,King Crab,4
73,Milk,0
73,Mouse,3
73,Nails,2
73,Noodles,6
73,Paint,0
73,Phone Charger,9
73,Power Cord,3
73,Shrimp,9
73,Steak,6
73,Tape,0
74,Bracket,0
74,Brush,0
74,Cereal,0
74,Ear Buds,3
74,Eggs,0
74,Glue,0
74,Keyboard,3
74,King Crab,1
74,Milk,0
74,Mouse,0
74,Nails,0
74,Noodles,2
74,Paint,0
74,Phone Charger,3
74,Power Cord,0
74,Shrimp,3
74,Steak,3
74,Tape,0
75,Bracket,0
75,Brush,0
75,Cereal,0
75,Ear Buds,3
75,Eggs,0
75,Glue,0
75,Keyboard,3
75,King Crab,1
75,Milk,0
75,Mouse,0
75,Nails,0
75,Noodles,2
75,Paint,0
75,Phone Charger,3
75,Power Cord,0
75,Shrimp,3
75,Steak,3
75,Tape,0
76,Bracket,0
76,Brush,0
76,Cereal,0
76,Ear Buds,3
76,Eggs,0
76,Glue,0
76,Keyboard,3
76,King Crab,1
76,Milk,0
76,Mouse,0
76,Nails,0
76,Noodles,2
76,Paint,0
76,Phone Charger,3
76,Power Cord,0
76,Shrimp,3
76,Steak,3
76,Tape,0
77,Bracket,4
77,Brush,3
77,Cereal,9
77,Ear Buds,27
77,Eggs,9
77,Glue,3
77,Keyboard,28
77,King Crab,9
77,Milk,6
77,Mouse,18
77,Nails,3
77,Noodles,12
77,Paint,3
77,Phone Charger,24
77,Power Cord,14
77,Shrimp,15
77,Steak,12
77,Tape,3
78,Bracket,4
78,Brush,3
78,Cereal,9
78,Ear Buds,27
78,Eggs,9
78,Glue,3
78,Keyboard,28
78,King Crab,9
78,Milk,6
78,Mouse,18
78,Nails,3
78,Noodles,12
78,Paint,3
78,Phone Charger,24
78,Power Cord,14
78,Shrimp,15
78,Steak,12
78,Tape,3
79,Bracket,3
79,Brush,1
79,Cereal,6
79,Ear Buds,19
79,Eggs,6
79,Glue,3
79,Keyboard,21
79,King Crab,6
79,Milk,3
79,Mouse,9
79,Nails,3
79,Noodles,8
79,Paint,0
79,Phone Charger,15
79,Power Cord,7
79,Shrimp,12
79,Steak,8
79,Tape,0
80,Bracket,3
80,Brush,1
80,Cereal,6
80,Ear Buds,19
80,Eggs,6
80,Glue,3
80,Keyboard,21
80,King Crab,6
80,Milk,3
80,Mouse,9
80,Nails,3
80,Noodles,8
80,Paint,0
80,Phone Charger,15
80,Power Cord,7
80,Shrimp,12
80,Steak,8
80,Tape,0
81,Bracket,3
81,Brush,2
81,Cereal,5
81,Ear Buds,18
81,Eggs,5
81,Glue,3
81,Keyboard,21
81,King Crab,6
81,Milk,3
81,Mouse,9
81,Nails,1
81,Noodles,7
81,Paint,0
81,Phone Charger,15
81,Power Cord,6
81,Shrimp,10
81,Steak,7
81,Tape,0
82,Bracket,3
82,Brush,0
82,Cereal,5
82,Ear Buds,18
82,Eggs,5
82,Glue,3
82,Keyboard,21
82,King Crab,6
82,Milk,3
82,Mouse,9
82,Nails,1
82,Noodles,7
82,Paint,0
82,Phone Charger,15
82,Power Cord,6
82,Shrimp,10
82,Steak,7
82,Tape,0
83,Bracket,0
83,Brush,0
83,Cereal,0
83,Ear Buds,3
83,Eggs,0
83,Glue,0
83,Keyboard,3
83,King Crab,1
83,Milk,0
83,Mouse,0
83,Nails,0
83,Noodles,2
83,Paint,0
83,Phone Charger,3
83,Power Cord,0
83,Shrimp,3
83,Steak,3
83,Tape,0
84,Bracket,1
84,Brush,0
84,Cereal,3
84,Ear Buds,6
84,Eggs,3
84,Glue,0
84,Keyboard,9
84,King Crab,3
84,Milk,0
84,Mouse,3
84,Nails,0
84,Noodles,3
84,Paint,0
84,Phone Charger,6
84,Power Cord,0
84,Shrimp,6
84,Steak,3
84,Tape,0
85,Bracket,10
85,Brush,7
85,Cereal,3
85,Ear Buds,10
85,Eggs,3
85,Glue,3
85,Keyboard,12
85,King Crab,3
85,Milk,0
85,Mouse,3
85,Nails,2
85,Noodles,5
85,Paint,0
85,Phone Charger,9
85,Power Cord,2
85,Shrimp,8
85,Steak,5
85,Tape,0
86,Bracket,2
86,Brush,2
86,Cereal,3
86,Ear Buds,9
86,Eggs,3
86,Glue,1
86,Keyboard,12
86,King Crab,3
86,Milk,0
86,Mouse,3
86,Nails,0
86,Noodles,3
86,Paint,0
86,Phone Charger,9
86,Power Cord,1
86,Shrimp,6
86,Steak,3
86,Tape,0
87,Bracket,3
87,Brush,0
87,Cereal,4
87,Ear Buds,9
87,Eggs,4
